;;;;;;
;;;;;;
;;;;;;
;;;;;;
EAN;Titolo;Autore;Editore;Genere (livello 1);Data di Uscita;NazionalitÖ dell'autore
9788822753540;L'ereditÖ dell'abate nero. Secretum saga;Simoni Marcello;NEWTON COMPTON EDITORI;FICTION;08/04/2021;ITALIANO
9788831003445;Harry Potter e i doni della morte. Vol. 7;Rowling J. K.;SALANI;BAMBINI/RAGAZZI;23/01/2020;
9788891298911;Jujutsu Kaisen. Sorcery Fight.  Vol. 1Ryomen Sukuna.  Vol. 1;Akutami Gege;PANINI COMICS;FICTION;03/06/2021;STRANIERO
9788893083089;La notte dei sogni;MammaGiulia e FigliaChiara;NORD-SUD;BAMBINI/RAGAZZI;15/11/2022;
9788834921562;Dandadan. Vol. 8;Tatsu Yukinobu;EDIZIONI BD;FICTION;19/09/2023;STRANIERO
9788899880972;Giochi e passatempi educativi per imparare divertendosi. Dice la maestra;Giustiniani Elisa;ELISEDIZIONI;BAMBINI/RAGAZZI;01/01/2023;
9788891839244;La mia cucina semplice. Le mie ricette vegetariane e vegane per tutti;Life&Chiara;MONDADORI ELECTA;NON FICTION VARIE;26/09/2023;
9788896918098;Il mistero del London Eye;Dowd Siobhan;UOVONERO;BAMBINI/RAGAZZI;01/12/2011;
9788822751751;Il patto dell'abate nero. Secretum saga;Simoni Marcello;NEWTON COMPTON EDITORI;FICTION;08/04/2021;ITALIANO
9788822774415;Cose che teniamo solo per noi. Things we hide from the light;Score Lucy;NEWTON COMPTON EDITORI;FICTION;27/06/2023;STRANIERO
9788822617668;Demon slayer. Kimetsu no yaiba. Vol. 7;Gotouge Koyoharu;STAR COMICS;FICTION;13/05/2020;STRANIERO
9788831017541;La meravigliosa storia di Henry Sugar e altri racconti;Dahl Roald;SALANI;BAMBINI/RAGAZZI;03/10/2023;
9788811008118;Ci vediamo per un caffä;Kawaguchi Toshikazu;GARZANTI;FICTION;28/02/2023;STRANIERO
9788806219307;Trilogia della cittÖ di K. Il grande quaderno-La prova-La terza menzogna;Kristof Agota;EINAUDI;FICTION;27/01/2014;STRANIERO
9788804775133;Dedalo&Dharma. Fuga dal cinema Kazan;Castagna Manlio;MONDADORI;BAMBINI/RAGAZZI;29/08/2023;
9788869206795;My Hero Academia. Vol. 2;Horikoshi Kohei;STAR COMICS;FICTION;26/05/2016;STRANIERO
9788828765196;Spy x Family. Vol. 3;Endo Tatsuya;PANINI COMICS;FICTION;14/09/2023;
9788822629319;Demon slayer. Kimetsu no yaiba. Vol. 17;Gotouge Koyoharu;STAR COMICS;FICTION;13/01/2022;STRANIERO
9788804670148;L'arte di amare;Fromm Erich;MONDADORI;NON FICTION GENERALI;18/08/2016;
9788811005872;Un grammo di felicitÖ al giorno;ùstli Siri;GARZANTI;FICTION;25/10/2022;STRANIERO
9788822762450;Le veritÖ sepolte;Marsons Angela;NEWTON COMPTON EDITORI;FICTION;07/04/2022;STRANIERO
9788852239847;Storie da 1 minuto. (10 titoli sfusi) (edizione disponibile solo per le librerie fisiche);AA.VV.;DISNEY LIBRI;UNKNOWN;04/05/2022;
9788852241284;Amiche del mare. Disney princess;AA.VV.;DISNEY LIBRI;BAMBINI/RAGAZZI;27/09/2023;
9788850252466;La tentazione di essere felici;Marone Lorenzo;TEA;FICTION;24/01/2019;ITALIANO
9788817176125;La dieta delle stagioni. Come mangiare bene ogni giorno e prendersi cura di sÇ al ritmo della natura, senza rinunciare al piacere della tavola;Santini Simona;RIZZOLI;NON FICTION VARIE;26/09/2023;
9788817056298;Le vostre zone erronee. Guida all'indipendenza dello spirito;Dyer Wayne W.;RIZZOLI;NON FICTION VARIE;14/03/2012;
9788852241895;Elemental;AA.VV.;DISNEY LIBRI;BAMBINI/RAGAZZI;07/06/2023;
9788842933526;Quando le montagne cantano;Nguyen Phan Que Mai;NORD;FICTION;07/01/2021;STRANIERO
9788822778673;Nel nome di Roma;Scarrow Simon;NEWTON COMPTON EDITORI;FICTION;29/08/2023;STRANIERO
9791259742865;Fattoria. Libro tattile sonoro;Vezzani Serena;DAMI EDITORE;BAMBINI/RAGAZZI;27/09/2023;
9788833190099;Citologia e istologia;AA.VV.;EDISES;NON FICTION GENERALI;01/02/2019;
9788860086198;Manuale di storia medioevale;Zorzi Andrea;UTET UNIVERSIT∑;NON FICTION GENERALI;19/05/2021;
9788855441810;Il vero amore (non) ä un mito. Liberati dalle relazioni tossiche;Mezzanotte Michele;SPERLING & KUPFER;NON FICTION VARIE;16/05/2023;
9788822751287;Non ä un paese per single;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;10/01/2022;ITALIANO
9788804672340;I promessi sposi;Manzoni Alessandro;MONDADORI;FICTION;10/11/2016;ITALIANO
9788806238032;L'autoritÖ perduta. Il coraggio che i figli ci chiedono;Crepet Paolo;EINAUDI;NON FICTION VARIE;20/05/2022;
9788867582143;I promessi sposi;Manzoni Alessandro;EDIMEDIA (FIRENZE);FICTION;01/01/2020;ITALIANO
9788831016759;Michele Ferrero. Condividere valori per creare valore;Giannella Salvatore;SALANI;NON FICTION GENERALI;18/04/2023;
9788804703242;La colonna di fuoco;Follett Ken;MONDADORI;FICTION;12/02/2019;STRANIERO
9788820078485;L'ansia del colibrç. Un percorso di consapevolezza e rinascita;Leoncini Thomas;SPERLING & KUPFER;NON FICTION VARIE;26/09/2023;
9788831004923;Il bambino, la talpa, la volpe e il cavallo;Mackesy Charlie;SALANI;BAMBINI/RAGAZZI;08/10/2020;
9788807903588;La favola di Amore e Psiche. Testo latino a fronte;Apuleio;FELTRINELLI;FICTION;23/01/2020;STRANIERO
9788815387660;Il presepe di san Francesco. Storia del Natale di Greccio;Frugoni Chiara;IL MULINO;NON FICTION GENERALI;29/09/2023;
9788822625618;Demon slayer. Kimetsu no yaiba. Vol. 15;Gotouge Koyoharu;STAR COMICS;FICTION;08/09/2021;STRANIERO
9788882224455;La cosa pió importante;Abbatiello Antonella;FATATRAC;BAMBINI/RAGAZZI;01/03/2017;
9788804723967;Heartstopper. Vol. 1;Oseman Alice;MONDADORI;FICTION;12/05/2020;STRANIERO
9788817184090;L'estate nei tuoi occhi. The summer trilogy;Han Jenny;RIZZOLI;FICTION;27/06/2023;STRANIERO
9788834845783;Manuale di diritto privato romano;Marrone Matteo;GIAPPICHELLI;NON FICTION GENERALI;01/11/2004;
9788820076894;Di troppa (o poca) famiglia. Radici, zavorre e risorse: un percorso dentro le relazioni affettive, verso la libertÖ;Canovi Ameya Gabriella;SPERLING & KUPFER;NON FICTION GENERALI;11/04/2023;
9788807493621;Chimere. Sogni e fallimenti dell'economia;Cottarelli Carlo;FELTRINELLI;NON FICTION GENERALI;30/05/2023;
9788809898653;Storie della buonanotte. Bing;AA.VV.;GIUNTI EDITORE;BAMBINI/RAGAZZI;19/10/2022;
9788832855524;Sii te stesso a modo mio. Essere adolescenti nell'epoca della fragilitÖ adulta;Lancini Matteo;CORTINA RAFFAELLO;NON FICTION GENERALI;16/05/2023;
9788822620118;Demon slayer. Kimetsu no yaiba. Vol. 10;Gotouge Koyoharu;STAR COMICS;FICTION;11/11/2020;STRANIERO
9788817164825;Per noi sarÖ sempre estate. The summer trilogy. Vol. 3;Han Jenny;RIZZOLI;FICTION;07/06/2022;STRANIERO
9788822772831;Gli insuperabili Gold (1 di 2) 2023;AA.VV.;NEWTON COMPTON EDITORI;UNKNOWN;06/01/2023;
9791280028389;La coppia felice;Dolan Naoise;BLU ATLANTIDE;FICTION;20/09/2023;STRANIERO
9788831009157;Harry Potter e la camera dei segreti. Ediz. papercut MinaLima. Vol.;Rowling J. K.;SALANI;BAMBINI/RAGAZZI;27/01/2022;
9788809873414;La ragazza nell'ombra. Le sette sorelle;Riley Lucinda;GIUNTI EDITORE;FICTION;12/06/2019;STRANIERO
9788850267026;La vendetta dell'imperatore;Cussler Clive;TEA;FICTION;11/07/2023;STRANIERO
9788866320326;L'amica geniale. Vol. 1;Ferrante Elena;E/O;FICTION;14/10/2011;ITALIANO
9788809961388;Oscura e celeste;Malvaldi Marco;GIUNTI EDITORE;FICTION;26/04/2023;ITALIANO
9788841253083;Personology. Il linguaggio segreto delle date di nascita;Goldschneider Gary;DE VECCHI;NON FICTION VARIE;20/09/2023;
9788891436962;Quiz commentati su competenze pedagogiche, psicopedagogiche e didattico metodologiche. Per la prova scritta del concorso scuola;AA.VV.;EDIZIONI GIURIDICHE SIMONE;NON FICTION VARIE;24/07/2023;
9788828848448;Istituzioni di diritto privato;Trimarchi Pietro;GIUFFR‘;NON FICTION GENERALI;26/06/2023;
9788815293824;Manuale di diritto amministrativo;Clarich Marcello;IL MULINO;NON FICTION GENERALI;10/02/2022;
9788804736844;Ballata dell'usignolo e del serpente. Hunger Games;Collins Suzanne;MONDADORI;FICTION;20/04/2021;STRANIERO
9788806216948;Kafka sulla spiaggia;Murakami Haruki;EINAUDI;FICTION;28/05/2013;STRANIERO
9788834922040;Il mio matrimonio felice. Vol. 3;Agitogi Akumi;EDIZIONI BD;FICTION;19/09/2023;
9788804735823;Il mondo nuovo-Ritorno al mondo nuovo;Huxley Aldous;MONDADORI;FICTION;26/03/2021;STRANIERO
9788822773654;Il primo cadavere;Marsons Angela;NEWTON COMPTON EDITORI;FICTION;07/02/2023;STRANIERO
9788811011583;Eppure cadiamo felici;Galiano Enrico;GARZANTI;FICTION;26/09/2023;ITALIANO
9788804743569;PokÇmon. Super extra guida completa;AA.VV.;MONDADORI;BAMBINI/RAGAZZI;19/10/2021;
9788893817745;Noi siamo tempesta. Storie senza eroe che hanno cambiato il mondo;Murgia Michela;SALANI;BAMBINI/RAGAZZI;11/02/2019;
9788832107531;Povere creature!;Gray Alasdair;SAFAR∑ EDITORE;FICTION;28/08/2023;STRANIERO
9788809968264;Il medico di Istanbul;Thellung Di Courtelary Francesca;GIUNTI EDITORE;FICTION;06/09/2023;ITALIANO
9788891299345;Jujutsu Kaisen. Sorcery Fight.  Vol. 5Incontro di scambio con la scuola gemellata di Kyoto.  Vol. 5;Akutami Gege;PANINI COMICS;FICTION;22/04/2021;STRANIERO
9788883622908;Pezzettino. Ediz. illustrata;Lionni Leo;BABALIBRI;BAMBINI/RAGAZZI;29/08/2013;
9788859825067;Diritto commerciale. Vol. 1. Diritto dell'impresa;Campobasso Gian Franco;UTET GIURIDICA;NON FICTION GENERALI;20/10/2022;
9788804772927;Il castello dei destini incrociati;Calvino Italo;MONDADORI;FICTION;08/02/2023;ITALIANO
9788834912645;I am a hero. Vol. 19;Hanazawa Kengo;EDIZIONI BD;FICTION;06/10/2023;STRANIERO
9788850266722;Il guardiano degli innocenti. The Witcher. Vol. 1;Sapkowski Andrzej;TEA;FICTION;27/06/2023;STRANIERO
9788804728818;Heartstopper. Vol. 2;Oseman Alice;MONDADORI;FICTION;06/10/2020;STRANIERO
9788891591302;Giochiamo insieme! Bluey;AA.VV.;FABBRI;BAMBINI/RAGAZZI;12/09/2023;
9788828212546;In nome di Ipazia. Riflessioni sul destino femminile;Maraini Dacia;SOLFERINO;NON FICTION GENERALI;20/06/2023;
9788899880668;Italiano 5/6 anni mio primo quaderno di italiano. Dice la maestra;Giustiniani Elisa;ELISEDIZIONI;BAMBINI/RAGAZZI;01/01/2023;
9788822732163;Urla nel silenzio;Marsons Angela;NEWTON COMPTON EDITORI;FICTION;13/06/2019;STRANIERO
9788864202006;One piece. New edition. Vol. 14;Oda Eiichiro;STAR COMICS;FICTION;19/03/2009;STRANIERO
9788845410048;La montagna sei tu. Trasformare l'autosabotaggio in autocontrollo;Wiest Brianna;SONZOGNO;NON FICTION VARIE;31/01/2023;
9788804778486;PokÇmon. Il mio amico Pikachu;Whitehill Simcha;MONDADORI;BAMBINI/RAGAZZI;12/09/2023;
9788822777201;Punk 57. Insieme siamo perfetti;Douglas Penelope;NEWTON COMPTON EDITORI;FICTION;04/07/2023;STRANIERO
9788880334392;Diario di una schiappa;Kinney Jeff;IL CASTORO;BAMBINI/RAGAZZI;05/02/2008;
9788822619525;Demon slayer. Kimetsu no yaiba. Vol. 9;Gotouge Koyoharu;STAR COMICS;FICTION;09/09/2020;STRANIERO
9788804775720;Le cinque porte;Corona Mauro;MONDADORI;BAMBINI/RAGAZZI;18/04/2023;
9791259920584;Come il fiume;Read Shelley;CORBACCIO;FICTION;05/09/2023;STRANIERO
9791259852892;Il circolo segreto dei misteri;Penner Sarah;HARPERCOLLINS ITALIA;FICTION;03/10/2023;STRANIERO
9788806239848;L'arminuta;Di Pietrantonio Donatella;EINAUDI;FICTION;05/02/2019;ITALIANO
9788859026464;Costruire il nuovo PEI alla secondaria di primo grado. Strumenti di osservazione, schede-guida ed esempi di sezioni compilate;AA.VV.;ERICKSON;NON FICTION GENERALI;09/09/2021;
9791255330424;Five nights at Freddy's. The twisted ones. Il graphic novel;Cawthon Scott;IL CASTORO;BAMBINI/RAGAZZI;26/09/2023;
9788804323327;Il piccolo bruco Maisazio;Carle Eric;MONDADORI;BAMBINI/RAGAZZI;04/04/1989;
9788804740285;I sette mariti di Evelyn Hugo;Jenkins Reid Taylor;MONDADORI;FICTION;07/09/2021;STRANIERO
9788822632036;Demon slayer. Kimetsu no yaiba. Vol. 19;Gotouge Koyoharu;STAR COMICS;FICTION;11/05/2022;STRANIERO
9788834615188;Storia del mondo. Dal Big Bang a oggi;Guerri Giordano Bruno;LA NAVE DI TESEO;NON FICTION GENERALI;26/09/2023;
9788854518117;Le sette morti di Evelyn Hardcastle;Turton Stuart;NERI POZZA;FICTION;28/03/2019;STRANIERO
9788822777850;Lo strano caso dell'omicidio al Seaview Hotel;Young Glenda;NEWTON COMPTON EDITORI;FICTION;26/09/2023;STRANIERO
9788870918496;Palestina. The passenger. Per esploratori del mondo;AA.VV.;IPERBOREA;NON FICTION GENERALI;20/09/2023;
9791259672995;Labirinti;Thilliez Franck;FAZI;FICTION;30/05/2023;STRANIERO
9788828762942;Jujutsu Kaisen. Sorcery Fight.  Vol. 8Dote nascosta.  Vol. 8;Akutami Gege;PANINI COMICS;FICTION;09/12/2021;STRANIERO
9788811816812;Basta un caffä per essere felici;Kawaguchi Toshikazu;GARZANTI;FICTION;14/01/2021;STRANIERO
9788820078867;Odio il calcio. Perdibili storie di formazione e pallone;Biasin Fabrizio;SPERLING & KUPFER;NON FICTION VARIE;03/10/2023;
9788807895258;Mantieni il bacio. Lezioni brevi sull'amore;Recalcati Massimo;FELTRINELLI;NON FICTION GENERALI;06/05/2021;
9788867903399;Il trono di Kenny. Chi ha ucciso Kenny?;Pera Toons;TUNUê;BAMBINI/RAGAZZI;03/10/2019;
9788845918711;La scomparsa di Majorana;Sciascia Leonardo;ADELPHI;FICTION;26/05/2004;ITALIANO
9788892223233;Pollicino;AA.VV.;SAN PAOLO EDIZIONI;BAMBINI/RAGAZZI;30/03/2021;
9788807493836;La cattura. I misteri di Matteo Messina Denaro e la mafia che cambia;de Lucia Maurizio;FELTRINELLI;NON FICTION GENERALI;29/08/2023;
9788822636119;Demon slayer. Kimetsu no yaiba. Vol. 22;Gotouge Koyoharu;STAR COMICS;FICTION;08/02/2023;STRANIERO
9781474960946;Lo zoo. Piccoli libri con adesivi;Watson Hannah;USBORNE PUBLISHING;BAMBINI/RAGAZZI;05/02/2019;
9788861896604;Il mondo ti aspetta. Ediz. a colori;Yamada Kobi, Barouch Gabriella;TERRE DI MEZZO;BAMBINI/RAGAZZI;22/10/2020;
9788806237608;Il silenzio ä cosa viva. L'arte della meditazione;Candiani Chandra Livia;EINAUDI;NON FICTION VARIE;09/10/2018;
9788822621771;Demon slayer. Kimetsu no yaiba. Vol. 12;Gotouge Koyoharu;STAR COMICS;FICTION;10/03/2021;STRANIERO
9791259791610;Eroi;Pennacchi Andrea;PEOPLE;NON FICTION GENERALI;29/09/2023;
9788806257248;Le ricette perdute del ristorante Kamogawa;Kashiwai Hishashi;EINAUDI;FICTION;18/04/2023;STRANIERO
9788809964754;La ragazza del sole. Le sette sorelle;Riley Lucinda;GIUNTI EDITORE;FICTION;04/01/2023;STRANIERO
9788804778172;28 respiri per cambiare vita. Come raggiungere una mente illuminata;Lumera Daniel;MONDADORI;NON FICTION VARIE;09/05/2023;
9788830453524;La casa delle luci;Carrisi Donato;LONGANESI;FICTION;08/11/2022;ITALIANO
9788807034800;Violeta;Allende Isabel;FELTRINELLI;FICTION;03/02/2022;STRANIERO
9788820076375;La storia d'amore che ti cambierÖ la vita;Sole Francesco;SPERLING & KUPFER;FICTION;22/11/2022;ITALIANO
9788829604142;Ella e le luci della notte;Fleming Lucy;EMME EDIZIONI;BAMBINI/RAGAZZI;26/09/2023;
9791259572639;Il luna park di Erick e Dominick. Storia interattiva;DinsiemE;MAGAZZINI SALANI;BAMBINI/RAGAZZI;27/06/2023;
9788806229726;Open. La mia storia;Agassi Andre;EINAUDI;NON FICTION GENERALI;27/10/2015;
9788852242243;Principesse e cuccioli. Disney princess. 5 minuti prima di dormire. In maiuscolo;AA.VV.;DISNEY LIBRI;BAMBINI/RAGAZZI;20/09/2023;
9788838944666;Brick for stone;Barbero Alessandro;SELLERIO EDITORE PALERMO;FICTION;21/03/2023;ITALIANO
9788806219222;Armi, acciaio e malattie. Breve storia del mondo negli ultimi tredicimila anni;Diamond Jared;EINAUDI;NON FICTION GENERALI;27/01/2014;
9788864202020;One piece. New edition. Vol. 16;Oda Eiichiro;STAR COMICS;FICTION;20/05/2009;STRANIERO
9788822637833;Dragon Ball Super. Vol. 18;Toriyama Akira;STAR COMICS;FICTION;25/01/2023;STRANIERO
9788868339050;Andreotti il grande regista. Settant'anni di storia politica italiana fra luci e tenebre, dalla parte del potere;Giannuli Aldo;PONTE ALLE GRAZIE;NON FICTION GENERALI;06/10/2023;
9788858336175;Il nuovo libro di inglese. Percorsi di lingua inglese per gli studenti del CPIA;Morara Annamaria;LOESCHER;NON FICTION VARIE;03/02/2021;
9788833576527;La sfida di Gerusalemme. Un viaggio in Terra santa;Schmitt Eric-Emmanuel;E/O;NON FICTION GENERALI;06/09/2023;
9788828745457;Chainsaw Man. Vol. 12. Uccello e guerra;Fujimoto Tatsuki;PANINI COMICS;FICTION;20/04/2023;STRANIERO
9788867028016;She drives me crazy. Mi fa impazzire;Quindlen Kelly;TRE60;FICTION;03/10/2023;STRANIERO
9791259852724;Dopo quella notte;Slaughter Karin;HARPERCOLLINS ITALIA;FICTION;19/09/2023;STRANIERO
9788852241918;Elemental;AA.VV.;DISNEY LIBRI;BAMBINI/RAGAZZI;07/06/2023;
9788807035197;Tutti nella mia famiglia hanno ucciso qualcuno;Stevenson Benjamin;FELTRINELLI;FICTION;11/10/2022;STRANIERO
9788822774811;In amore vince chi rischia;Premoli Anna;NEWTON COMPTON EDITORI;FICTION;30/05/2023;ITALIANO
9788822623980;Demon slayer. Kimetsu no yaiba. Vol. 14;Gotouge Koyoharu;STAR COMICS;FICTION;14/07/2021;STRANIERO
9788806254278;Cleopatra e Frankenstein;Mellors Coco;EINAUDI;FICTION;13/06/2023;STRANIERO
9788859825029;Manuale di diritto commerciale;Campobasso Gian Franco;UTET GIURIDICA;NON FICTION GENERALI;03/11/2022;
9788838945670;Non si uccide di martedç;Molesini Andrea;SELLERIO EDITORE PALERMO;FICTION;04/07/2023;ITALIANO
9788820073855;Corpi celesti. Dance of bulls. Vol. 2;Halley Ribes;SPERLING & KUPFER;FICTION;26/04/2023;ITALIANO
9788852242144;Lilo & Stitch;AA.VV.;DISNEY LIBRI;BAMBINI/RAGAZZI;13/09/2023;
9788804616986;Dieci piccoli indiani;Christie Agatha;MONDADORI;BAMBINI/RAGAZZI;19/06/2012;
9788820077112;Captive. Cuore prigioniero. Vol. 1;Rivens Sarah;SPERLING & KUPFER;FICTION;19/09/2023;STRANIERO
9788859026440;Costruire il nuovo PEI all'infanzia. Strumenti di osservazione, schede-guida ed esempi di sezioni compilate;AA.VV.;ERICKSON;NON FICTION GENERALI;09/09/2021;
9788817158176;Lezioni di chimica;Garmus Bonnie;RIZZOLI;FICTION;03/05/2022;STRANIERO
9788830459175;Come vento cucito alla terra;Tuti Ilaria;LONGANESI;FICTION;07/06/2022;ITALIANO
9791221207910;Una vita senza dieta. Come trovare l'equilibrio e stare bene a tavola senza rinunce;Stavolone Paola;DE AGOSTINI;NON FICTION VARIE;19/09/2023;
9788891909398;Storia dell'educazione e delle pedagogie. Ediz. MyLab;Santamaita Saverio;PEARSON;NON FICTION GENERALI;02/09/2019;
9788892223219;Il principe ranocchio;AA.VV.;SAN PAOLO EDIZIONI;BAMBINI/RAGAZZI;30/03/2021;
9788860084835;La linguistica. Un corso introduttivo;Berruto Gaetano, Cerruti Massimo;UTET UNIVERSIT∑;NON FICTION GENERALI;03/04/2017;
9788869059681;Sangue e cenere. Blood and Ash. Vol. 1;Armentrout Jennifer L.;HARPERCOLLINS ITALIA;FICTION;24/03/2022;STRANIERO
9788828716044;Jujutsu Kaisen. Sorcery Fight. Vol. 14;Akutami Gege;PANINI COMICS;FICTION;09/06/2022;STRANIERO
9788829917273;Stechiometria per la chimica generale;Michelin Lausarot Paola,Vaglio G. Angelo;PICCIN-NUOVA LIBRARIA;NON FICTION GENERALI;01/12/2004;
9788866327462;Ninfee nere;Bussi Michel;E/O;FICTION;09/06/2016;STRANIERO
9788820076450;Ti penso (ancora);Ollerongis Mattia;SPERLING & KUPFER;FICTION;17/01/2023;ITALIANO
9788891836915;Benvenuti in casa mia! Tante ricette facili e consigli semplici per risparmiare in cucina e in casa;Rossi Benedetta;MONDADORI ELECTA;NON FICTION VARIE;25/10/2022;
9788804773566;Oro puro;Genovesi Fabio;MONDADORI;FICTION;06/06/2023;ITALIANO
9788852228483;Coco. Libro puzzle;AA.VV.;DISNEY LIBRI;BAMBINI/RAGAZZI;22/11/2017;
9788820763510;Esercitazioni di matematica Vol. 1/1;Marcellini Paolo, Sbordone Carlo;LIGUORI;NON FICTION GENERALI;16/02/2016;
9788804668244;L'amore ai tempi del colera;Garc°a M†rquez Gabriel;MONDADORI;FICTION;18/05/2016;STRANIERO
9788806251864;La tecnologia ä religione;Valerio Chiara;EINAUDI;NON FICTION GENERALI;14/03/2023;
9788804755098;Ace. Cosa ci rivela l'asessualitÖ sul desiderio, la societÖ e il significato del sesso;Chen Angela;MONDADORI;NON FICTION GENERALI;03/10/2023;
9788859010128;Astuccio delle regole di italiano;Farmeschi Nicoletta;ERICKSON;NON FICTION GENERALI;26/05/2016;
9788817180597;Tutto quello che so sull'amore;Alderton Dolly;RIZZOLI;FICTION;12/09/2023;STRANIERO
9788807891441;Donne che comprano fiori;Montfort Vanessa;FELTRINELLI;FICTION;22/11/2018;STRANIERO
9798547144653;Aspettami nell?arcobaleno: Come affrontare la perdita del tuo animale domestico;Vidal Laura;INDEPENDENTLY PUBLISHED;NON FICTION VARIE;01/01/2021;
9788804668084;La boutique del mistero;Buzzati Dino;MONDADORI;FICTION;23/05/2016;ITALIANO
9788864202013;One piece. New edition. Vol. 15;Oda Eiichiro;STAR COMICS;FICTION;20/04/2009;STRANIERO
9788891635433;Concetti di informatica e fondamenti di Python;Horstmann Cay S.,Necaise Rance D.;APOGEO EDUCATION;NON FICTION GENERALI;17/06/2019;
9788833715346;Colori. I tattilini;Nigelli Benedetta;EDIZIONI DEL BORGO;BAMBINI/RAGAZZI;20/04/2022;
9788808750174;Unitutor TOLC Medicina 2024. Test di ammissione per Medicina e Chirurgia, Odontoiatria e Veterinaria;Longo Fatima;ZANICHELLI;NON FICTION VARIE;18/07/2023;
9788822622761;Demon slayer. Kimetsu no yaiba. Vol. 13;Gotouge Koyoharu;STAR COMICS;FICTION;12/05/2021;STRANIERO
9788809885806;La ragazza delle perle. Le sette sorelle;Riley Lucinda;GIUNTI EDITORE;FICTION;05/01/2021;STRANIERO
9788804766490;Eravamo immortali;Cassardo Marco;MONDADORI;FICTION;12/09/2023;ITALIANO
9788806258061;Il talento del cappellano;Cassar Scalia Cristina;EINAUDI;FICTION;10/01/2023;ITALIANO
9788867144013;Gruffalï e la sua piccolina;Donaldson Julia;EMME EDIZIONI;BAMBINI/RAGAZZI;16/06/2015;
9788858119891;Benedette guerre. Crociate e jihad;Barbero Alessandro;LATERZA;NON FICTION GENERALI;21/05/2015;
9788815287823;Macroeconomia. Una prospettiva europea;Blanchard Olivier;IL MULINO;NON FICTION GENERALI;17/09/2020;
9788804767060;Rosso, bianco & sangue blu. Collector's edition;McQuiston Casey;MONDADORI;FICTION;29/11/2022;STRANIERO
9788804728726;Come parlare perchÇ i bambini ti ascoltino & come ascoltare perchÇ ti parlino;Faber Adele, Mazlish Elaine;MONDADORI;NON FICTION VARIE;25/03/2020;
9788807493591;Troppo neri;Tommasi Saverio;FELTRINELLI;NON FICTION GENERALI;30/05/2023;
9780215901125;Chitarra volante metodo introduzione. Con CD Audio;Paradiso Vito N.;CURCI;NON FICTION GENERALI;28/01/2018;
9781795668040;Ci alleniamo anche se piove? Miserie e splendori del calcio dilettantistico;AA.VV.;INDEPENDENTLY PUBLISHED;NON FICTION VARIE;01/01/2019;
9788804666851;Guida galattica per gli autostoppisti. Il ciclo completo;Adams Douglas;MONDADORI;FICTION;24/05/2016;STRANIERO
9788833956848;Analisi matematica. Vol. 1;Giusti Enrico;BOLLATI BORINGHIERI;NON FICTION GENERALI;31/05/2002;
9788828212560;Insieme si vince. La forza della cooperazione nella nostra vita;Andreoli Vittorino;SOLFERINO;NON FICTION GENERALI;12/09/2023;
9788876256110;Anima;Mouawad Wajdi;FAZI;FICTION;26/02/2015;STRANIERO
9788804735106;Il deserto dei tartari;Buzzati Dino;MONDADORI;FICTION;28/09/2021;ITALIANO
9788804779773;Unicornia. Magici cupcake;Punset Ana;MONDADORI;BAMBINI/RAGAZZI;26/09/2023;
9788891437020;Concorso RIPAM 338 posti ministero delle imprese e del made in Italy MIMIT. 90 assistenti amministrativi (COD. 01). 90 assistenti amministrativo-contabili (COD. 02). Manuale per la preparazione;AA.VV.;EDIZIONI GIURIDICHE SIMONE;NON FICTION VARIE;15/09/2023;
9788859009740;Astuccio delle regole di matematica;Tabarelli Silvia;ERICKSON;NON FICTION GENERALI;17/03/2016;
9788822607485;Dragon Ball Super. Vol. 3;Toriyama Akira;STAR COMICS;FICTION;23/10/2017;STRANIERO
9788880938712;Zero limits. Lo straordinario sistema hawaiano per gioire di una vita meravigliosa in cui tutto ä davvero possibile;Vitale Joe;IL PUNTO D'INCONTRO;NON FICTION VARIE;14/06/2012;
9788804765769;Tutto chiede salvezza;Mencarelli Daniele;MONDADORI;FICTION;28/09/2022;ITALIANO
9788851166977;#disobbediente! Essere onesti ä la vera rivoluzione;Franzoso Andrea;DE AGOSTINI;BAMBINI/RAGAZZI;23/10/2018;
9788864202044;One piece. New edition. Vol. 18;Oda Eiichiro;STAR COMICS;FICTION;15/07/2009;STRANIERO
9788807035494;Le regole dello Shangai;De Luca Erri;FELTRINELLI;FICTION;16/05/2023;ITALIANO
9788822620934;Demon slayer. Kimetsu no yaiba. Vol. 11;Gotouge Koyoharu;STAR COMICS;FICTION;13/01/2021;STRANIERO
9788828854005;Codice civile. Con la Costituzione, i trattati U.E. e le principali norme complementari;Di Majo Adolfo;GIUFFR‘;NON FICTION GENERALI;06/09/2023;
9788838656453;Psicologia generale. Capire la mente osservando il comportamento;Holt Nigel;MCGRAW-HILL EDUCATION;NON FICTION GENERALI;01/02/2023;
9788831016186;Chi ä stato? Come diventare cittadini responsabili;Colombo Gherardo;SALANI;BAMBINI/RAGAZZI;15/09/2023;
9788864202037;One piece. New edition. Vol. 17;Oda Eiichiro;STAR COMICS;FICTION;17/06/2009;STRANIERO
9788822762399;Un imprevisto chiamato amore;Premoli Anna;NEWTON COMPTON EDITORI;FICTION;07/04/2022;ITALIANO
